collection||شعب الإيمان
hadith|9073|وبإسناده عن ليث قال سمعت هذا الحديث عن مجاهد يحدث به عن بن عمر ولكن أخبرني محمد بن طارق أنه كان يحدث به عن رسول الله صلى الله عليه وسلم
hadith|9074|وأخبرنا أبو الحسن الفقيه قال أنا أبو سهل الإسفرائيني أنا أبو جعفر الحذاء نا علي بن المديني نا عبد الله بن إدريس أنا ليث عن مجاهد قال لو أن المؤمن لا يصيبه من أخيه شيء إلا أن حياءه منه يمنعه من المعاصي
hadith|9075|قال ونا علي بن المديني نا الوليد بن مسلم سمعت الأوزاعي سمعت بلال بن سعد يقول أخ لك كلما لقيك ذكرك بحظك من الله خير لك من أخ كلما لقيك وضع في يدك دينارا
hadith|9076|أخبرنا أبو بكر المنشاط أنا أبو الحسن محمد بن إسماعيل العلوي سمعت جعفر بن محمد بن نصير يقول لطف الجاهل يعقبك الغرور وتوبيخ العالم يعقبك السرور
hadith|9077|وأخبرنا أبو الحسين بن بشران أنا أبو محمد دعلج بن أحمد بن دعلج نا إبراهيم بن أبي طالب نا إسحاق بن راهويه أنا عيسى بن يونس عن صفوان بن عمرو أخبرني أزهر بن عبد الله الحراري عن عبد الله بن بسر قال كان يقال إذا جلست في قوم فيهم عشرون رجلا أقل أو أكثر فتصفحت وجوههم فلم تر فيهم أحدا يهاب في الله عز وجل فاعلم أن الأمر قد رق 1
hadith|9078|وأخبرنا أبو عبد الله الحافظ وأبو بكر بن الحسن قالا نا أبو العباس محمد بن يعقوب نا أبو عتبة نا بقية نا صفوان بن عمرو حدثني الأزهر بن عبد الله الحراري سمعت عبد الله بن بسر صاحب النبي صلى الله عليه وسلم يقول كنا نسمع أنه يقال إذا اجتمع عشرون رجلا أو أكثر أو أقل فلم يكن فيهم من يهاب في الله عز وجل فقد قصر 2 الأمر
hadith|9079|سمعت أبا عبد الرحمن السلمي يقول سمعت منصور بن عبد الله يقول سمعت يعقوب بن إسحاق بن محمود نا أحمد بن مخلد 3 القرشي نا أحمد بن أبي الحواري نا أبو سليمان قال إنما الأخ الذي يعظك برؤيته قبل أن يعظك بكلامه لقد كنت أنظر إلى الأخ من إخواني بالعراق فأعمل على رؤيته شهرا
hadith|9080|سمعت الأستاذ أبا علي الدقاق يقول من لم يعظك لحظه لم يعظك لفظه
hadith|9081|أخبرنا أبو عبد الرحمن السلمي سمعت جدي يقول من لم تهدك رؤيته فاعلم أنه غير مهذب
hadith|9082|أخبرنا أبو عبد الرحمن السلمي قال أنا عبيد 1 الله بن أحمد بن حمدان الزاهد قال نا أبو بكر بن الأنباري قال نا أحمد بن يحيى قال نا بن الأعرابي قال كان يقال أحيوا الحياء بمجالسة من يستحيي منه
hadith|9083|أخبرنا أبو سعد الماليني قال نا أحمد بن محمد بن الحسن قال سمعت أبا بكر الهجمي البصري يقول سمعت سهل بن عبد الله يقول وقد سأله رجل فقال يا أبا محمد إلى من تأمرني أجلس قال إلى من تكلمك جوارحه لا من يكلمك لسانه
hadith|9084|أبو الحسن المقرئ قال أنا الحسن بن محمد بن إسحاق قال حدثني خالي يعني أبا عوانة قال نا موسى بن أبي عوف قال نا يعقوب بن كعب قال نا مخلد بن هشام عن الحسن قال لا يزال الناس بخير ما تباينوا فإذا استووا فذاك حين هلاكهم
chapter||الثاني والستون من شعب الإيمان وهو باب في رد السلام
hadith|9085|أخبرنا أبو طاهر الفقيه قال أنا أبو طاهر محمد بن الحسن المحمد أبادي قال نا أبو قلابة قال نا أبو عامر قال نا زهير بن محمد قال ونا أبو قلابة نا حسن بن حفص نا هشام بن سعد كلاهما عن زيد بن أسلم عن عطاء بن يسار عن أبي سعيد أن رسول الله صلى الله عليه وسلم قال إياكم والجلوس على الطرقات وإن كنتم لا بد فاعلين فاهدوا السبيل وأعينوا المظلوم وردوا السلام والأمر بالمعروف والنهي عن المنكر + أخرجه البخاري في الصحيح عن عبد الله بن محمد عن أبي عامر عن زهير كما
hadith|9086|أخبرنا محمد بن محمش الفقيه أنا أبو بكر محمد بن إبراهيم الفحام نا محمد بن يحيى نا موسى بن مسعود نا زهير عن زيد بن أسلم عن عطاء بن يسار عن أبي سعيد الخدري أن النبي صلى الله عليه وسلم قال إياكم والجلوس بالطرقات قالوا يا رسول الله ما لنا من مجالسنا بد نتحدث فيها فقال رسول الله صلى الله عليه وسلم إذا أبيتم إلا المجلس فأعطوا الطريق حقه قالوا وما حق الطريق قال غض البصر وكف الأذى ورد السلام والأمر بالمعروف والنهي عن المنكر
hadith|9087|وأخبرنا أبو عبد الله أنا أحمد بن جعفر القطيعي نا عبد الله بن أحمد بن حنبل حدثني أبي نا عبد الرحمن بن مهدي نا زهير بن محمد فذكره + بإسناده مثله غير أنه قال قال رسول الله صلى الله عليه وسلم وأخرجه مسلم عن محمد بن رافع عن بن أبي فديك عن هشام بن سعد كما
hadith|9088|أخبرنا أبو عبد الله الحافظ نا أبو بكر أحمد بن سلمان الفقيه نا أحمد بن محمد بن عيسى القاضي نا أبو همام الدلال نا هشام بن سعد عن زيد بن أسلم عن عطاء بن يسار عن أبي سعيد الخدري قال قال رسول الله صلى الله عليه وسلم لا تجلسوا بالطريق قال قلنا يا رسول الله ما لنا بد من مجالسنا نتحدث فيها فقال رسول الله صلى الله عليه وسلم إذا أبيتم إلا المجالس فأعطوا الطريق حقه قلنا وما حق الطريق يا رسول الله قال غض البصر وكف الأذى ورد السلام والأمر بالمعروف والنهي عن المنكر
hadith|9089|أخبرنا أبو الحسن علي بن أحمد المقرئ بن الحمامي أنا إسماعيل بن علي الخطمي 1 نا إبراهيم بن إسحاق الحرب قال ثنا عفان بن مسلم نا عبد الواحد بن زياد عن عثمان بن حكيم عن إسحاق بن عبد الله بن أبي طلحة قال أبو طلحة كنا جلوسا عند النبي صلى الله عليه وسلم فقال ما لكم وللمجالس بالصعدات قلنا نتحدث قال أعطوا المجالس حقها قلنا وما حقها قال رد السلام
